id;file_upload;file_upload_content_type;created_on
1;../fake-data/blob/hipster.png;image/png;2021-01-07T16:25:51
2;../fake-data/blob/hipster.png;image/png;2021-01-07T15:17:50
3;../fake-data/blob/hipster.png;image/png;2021-01-07T13:16:56
4;../fake-data/blob/hipster.png;image/png;2021-01-07T21:20:59
5;../fake-data/blob/hipster.png;image/png;2021-01-07T21:12:50
6;../fake-data/blob/hipster.png;image/png;2021-01-07T09:02:51
7;../fake-data/blob/hipster.png;image/png;2021-01-07T16:56:26
8;../fake-data/blob/hipster.png;image/png;2021-01-07T12:44:30
9;../fake-data/blob/hipster.png;image/png;2021-01-07T23:45:16
10;../fake-data/blob/hipster.png;image/png;2021-01-07T18:05:53
